127.0.0.1 - - [20/Aug/2020:11:09:58 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:10:00 -0300] "GET /Veiculos/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:10:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:10:35 -0300] "POST /Veiculos/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:10:35 -0300] "GET /Veiculos/index.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:11:08 -0300] "POST /Veiculos/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:11:08 -0300] "GET /Veiculos/index.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:11:28 -0300] "POST /Veiculos/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:11:28 -0300] "GET /Veiculos/index.jsp HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:11:54 -0300] "POST /Veiculos/index.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [20/Aug/2020:11:12:01 -0300] "GET /Veiculos/index.jsp HTTP/1.1" 200 1578
