127.0.0.1 - - [29/Sep/2020:09:08:50 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:08:55 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:08:55 -0300] "GET /InvestimentosWEB/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:13:30 -0300] "PUT /Notas/rest?nome=Andre HTTP/1.1" 403 983
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:24:21 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:24:31 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:24:35 -0300] "DELETE /InvestimentosWEB/carteirarest?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:24:35 -0300] "DELETE /InvestimentosWEB/carteira.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:26:58 -0300] "DELETE /InvestimentosWEB/carteirarest?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:26:58 -0300] "DELETE /InvestimentosWEB/carteira.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:27:21 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:27:28 -0300] "DELETE /InvestimentosWEB/carteirarest?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:27:28 -0300] "DELETE /InvestimentosWEB/carteira.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:28:15 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:28:25 -0300] "DELETE /InvestimentosWEB/carteirarest?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:28:25 -0300] "DELETE /InvestimentosWEB/carteira.jsp HTTP/1.1" 405 1105
